title,uuid,tags,links,last_mod_dt,word_count
Set cdate from date in YAML,['202207281541'],"['#code-snippet', '#shell-script', '#57694105']","['[[202207281541]]', '[[202208040749]]']",Thu Feb 09 10:15:24 2023,55
What is this sentence supposed to do?,['202001092002'],"['#quote', '#writing', '#ENGL393', '#skill', '#editing']","['[[202012092105]]', '[[202001092002]]']",Wed Dec 27 19:58:06 2023,89
Tagging for context,['201901231915'],['#zettelkasting'],"['[[201901231915]]', '[[202308201331]]', '[[202003020631]]', '[[201901231854]]', '[[201901231938]]', '[[201901231915]]', '[[201901231920]]', '[[201901231930]]', '[[202002011055]]']",Thu Sep 07 06:55:21 2023,128
Senjru,['201911120646'],['#definition'],"['[[202007011434]]', '[[201911220836]]', '[[201911120646]]']",Fri Feb 03 09:09:30 2023,24
Recognizing Solitude,['202011281526'],['#solitude'],"['[[202011281526]]', '[[202010270815]]', '[[202008171612]]', '[[202007121919]]', '[[202010270743]]']",Fri Feb 03 09:09:30 2023,129
"C-JAMM328 February 03, 2022",['202202031528'],['#JAMM328'],"['[[202202031528]]', '[[202204170829]]']",Wed Dec 27 20:17:20 2023,364
The Monastic Philosophy Of Deep Work Scheduling,['202009100828'],['#thinking-skills'],"['[[202009100828]]', '[[201903101304]]', '[[202002210520]]', '[[202208091955]]', '[[202006230814]]', '[[202009100832]]', '[[202009100835]]', '[[202103270623]]', '[[202107070941]]']",Sat Apr 20 06:15:07 2024,254
BO-Use misfortune as practice,['201903100511'],['#slogans'],"['[[202010200553]]', '[[202210121715]]', '[[201903080539]]', '[[201903110656]]', '[[201904080510]]', '[[201904030514]]', '[[201904170606]]', '[[202009212034]]', '[[201903100511]]']",Wed Dec 27 19:58:06 2023,774
F-Cheap Shot,['202110110841'],"['#forum-post', '#zettelkasting']","['[[202110110841]]', '[[202110101626]]', '[[202110010741]]', '[[202305081930]]']",Wed Dec 27 20:17:20 2023,542
Eliminate decisions,['201903041645'],['#thinking-skills'],"['[[201903041105]]', '[[201903041645]]', '[[201903011645]]']",Fri Feb 03 09:09:29 2023,58
Repeating Sentences,['202001212048'],[],"['[[202107141541]]', '[[202103140710]]', '[[202001212048]]', '[[201911281112]]']",Wed Feb 08 06:30:27 2023,81
Digital Gardening,['202105021718'],"['#digital-garden', '#tools)']","['[[202105021718]]', '[[202211071545]]', '[[202108301931]]', '[[202202140830]]']",Fri Feb 03 09:09:29 2023,1428
Margret Tipton,['202204070827'],['#Tipton'],"['[[202204070827]]', '[[202204061530]]', '[[202204070839]]']",Fri Feb 17 08:36:47 2023,59
Seed of idea,['201907200637'],"['#zettelkasting', '#Comment_3080']",['[[201907200637]]'],Wed Mar 01 17:41:35 2023,160
A-Engagement,['202001271318'],"['#literature', '#article']","['[[202001290949]]', '[[202001271318]]', '[[202001161029]]']",Wed Dec 27 19:58:06 2023,90
Where do my ideas come from?,['202402220636'],"['#ideation', '#personal_development']","['[[202402220636]]', '[[202403230748]]']",Thu Apr 11 20:20:19 2024,201
PKM Dashboard,['202110010953'],['#dashboard'],"['[[202110010953]]', '[[202011250546]]', '[[202008011415]]', '[[202303251955]]']",Sat Mar 25 20:02:55 2023,333
Already dead people,['202001021656'],[],"['[[202001021656]]', '[[202001141730]]', '[[202212080857]]', '[[202309101938]]']",Wed Dec 27 19:58:06 2023,115
Self-love and self-confidence,['201904141732'],['#quote'],"['[[201904141732]]', '[[201901151737]]']",Fri Feb 03 09:09:30 2023,61
Habitually reviewing notes yields rewards,['202305050616'],"['#outline', '#linking-strategy', '#zettelkasting', '#meta-ZK', '#Comment_17937)']","['[[202305050616]]', '[[202402150913]]', '[[202005030743]]', '[[202311152018]]', '[[202008160845]]', '[[202008300656]]', '[[202205250813]]', '[[202109282031]]']",Fri Feb 16 20:57:21 2024,390
BO-Practice sympathetic joy,['201904250633'],['#slogans'],"['[[201903250613]]', '[[201903300509]]', '[[201904120530]]', '[[201904150459]]', '[[201904240458]]', '[[202009220810]]', '[[201904250633]]']",Wed Dec 27 19:58:06 2023,310
Capturing Prompts As Zettel,['202111071349'],"['#coding', '#project', '#spaced-repetition']","['[[202111071349]]', '[[202112071702]]']",Fri Feb 03 09:09:29 2023,246
Too Many Words and Not Enough,['202304292017'],"['#beautiful-language', '#beautiful-language', '#definition', '#beautiful-language', '#definition']","['[[202304292017]]', '[[202306251358]]', '[[202101051728]]', '[[202406130922]]', '[[202105130836]]', '[[202305141935]]', '[[201907120702]]', '[[202306251532]]', '[[202305190555]]', '[[202306230921]]']",Thu Jun 13 20:19:56 2024,1068
B-The Size Of Thoughts: Essays And Other Lumber -,['202112231507'],"['#book', '#literature']","['[[202112231507]]', '[[202109080816]]', '[[202108311631]]', '[[202112250941]]', '[[202107111234]]', '[[202112250941]]', '[[202112271640]]', '[[202201131424]]']",Fri Feb 03 09:09:29 2023,457
Your Age Classifies How You Treat Progress,['202106192052'],[],"['[[202106192052]]', '[[202106141956]]']",Fri Feb 03 09:09:30 2023,166
Raymond Carver,['202101300601'],"['#writing', '#ENGL473', '#poetry', '#writing']","['[[202101300601]]', '[[202101311646]]', '[[202104091822]]', '[[202012092105]]', '[[202101311639]]']",Wed Dec 27 20:56:54 2023,379
Stock of metaphors,['201905211029'],"['#quote,', '#writing', '#metaphor']","['[[201902120605]]', '[[201812271440]]', '[[201906241735]]', '[[202011031034]]', '[[202012271136]]', '[[202310240716]]', '[[201905211029]]']",Tue Oct 24 08:00:13 2023,119
Sovereign Importance,['201904241146'],['#quote'],"['[[202104111512]]', '[[201904241146]]']",Fri Feb 03 09:09:30 2023,79
Come Away With Me,['202006041628'],['#quote'],"['[[202006041628]]', '[[202011041504]]', '[[202009100728]]']",Fri Feb 03 09:09:29 2023,180
A-The Children Of Lidice,['202002121325'],['#article'],"['[[202109220751]]', '[[202001131323]]', '[[202002121325]]']",Wed Dec 27 19:58:06 2023,161
Is this anything?,['202305020829'],"['#humor', '#writing']","['[[202305020829]]', '[[201912021014]]', '[[202105131643]]', '[[202106080737]]']",Wed May 03 20:57:49 2023,105
B-Composed,['201812291932'],['#book'],"['[[201812291932]]', '[[202009070839]]', '[[201901010850]]']",Fri Feb 03 09:09:29 2023,220
Secrets Of Raremes,['202112271640'],"['#beautiful-language', '#literature']","['[[202112271640]]', '[[202112311534]]', '[[202106070916]]', '[[202012150924]]', '[[202107271714]]', '[[201910151039]]', '[[202003262054]]']",Fri Feb 03 09:09:30 2023,327
The Hard Problem,['201904301004'],[],"['[[201904301004]]', '[[202010192102]]']",Fri Feb 03 09:09:30 2023,151
Familiarization,['201902250830'],['#dzogchen'],"['[[202106160520]]', '[[201912181135]]', '[[201902250830]]', '[[201901301240]]', '[[202010130905]]', '[[202010262005]]', '[[202011250817]]']",Fri Feb 03 09:09:29 2023,224
H-Historical History,['202009230757'],"['#hub', '#history']","['[[202009230757]]', '[[202008131131]]', '[[202001082035]]', '[[202107090732]]', '[[202311151742]]', '[[202312032017]]', '[[201906271334]]', '[[202001021656]]', '[[201908211317]]', '[[202211041603]]', '[[202312021926]]', '[[202306211751]]', '[[202311182035]]', '[[201905210818]]', '[[201901250918]]', '[[202109220816]]', '[[202309140453]]', '[[201903151643]]', '[[201905031927]]', '[[202304141633]]', '[[202212131452]]', '[[202210131924]]']",Wed Dec 27 19:58:06 2023,282
Parkinson's Law,['202109220745'],['#mental-models'],"['[[202109220745]]', '[[202109220828]]', '[[202109020530]]']",Fri Feb 03 09:09:30 2023,79
B-Weinberg On Writing: The Fieldstone Method,['202302252046'],"['#book', '#writing', '#metaphor', '#editing-tool', '#definition', '#writing-tip', '#beautiful-language', '#zen', '#writing-tip', '#literary_device', '#editing-tool', '#writing-tip']","['[[202302252046]]', '[[202211021724]]', '[[202306041721]]', '[[202303011657]]', '[[202302281758]]', '[[202307240812]]', '[[202307240817]]', '[[202307240807]]', '[[202305242027]]', '[[202306121935]]', '[[202303221435]]', '[[202307240825]]', '[[202307240809]]', '[[202303131644]]']",Wed Dec 27 19:58:06 2023,1678
The Incremental And Tangential Lead To Clarity,['202107232033'],"['#thinking-skills', '#article']","['[[202107232033]]', '[[202302261714]]', '[[202206170817]]', '[[202012151752]]', '[[202303221435]]', '[[201902240737]]', '[[202012231628]]', '[[202209141633]]', '[[202305080926]]', '[[202204200734]]']",Wed Dec 27 19:58:06 2023,299
Silent time,['201904301017'],['#uji'],"['[[201904271120]]', '[[201904301017]]', '[[201903141853]]', '[[201904271120]]', '[[201905311044]]', '[[201904271127]]']",Fri Feb 10 08:02:24 2023,83
A-The Craft of Writing,['202303011657'],"['#article', '#writing', '#writing-tip', '#beautiful-language', '#beautiful-language', '#beautiful-language', '#beautiful-language', '#writing-tip']","['[[202303011657]]', '[[202301092043]]', '[[202303100858]]', '[[202006270812]]', '[[202109220748]]', '[[202002280909]]', '[[202303111121]]', '[[201911251051]]']",Sat Mar 11 11:25:09 2023,688
Inveterate backslider,['201901031421'],['#stoicism'],"['[[201901031421]]', '[[202103111235]]', '[[202104092124]]', '[[202104302108]]', '[[202103141638]]', '[[202103111235]]', '[[201901021303]]', '[[202001131617]]', '[[202003080733]]']",Fri Feb 03 09:09:29 2023,227
A-Spaced Repetition Workshop,['202012061015'],"['#article', '#spaced-repetition']","['[[202012061015]]', '[[202012071538]]', '[[202012051631]]', '[[202306041228]]', '[[202103190554]]', '[[202008111359]]', '[[201901231951]]']",Tue Oct 10 08:02:18 2023,775
Repetition connects us to our surroundings,['202309302051'],"['#blog', '#blog-post']","['[[202309302051]]', '[[202309302032]]', '[[202405300432]]']",Thu May 30 05:16:08 2024,432
"C-ENGL473 February 2, 2021",['202101281553'],['#ENGL473'],"['[[202101281553]]', '[[202012212010]]', '[[202101081944]]', '[[202101261719]]', '[[202101281553]]']",Wed Dec 27 20:56:54 2023,223
Going There Writing Workshop,['202312011453'],"['#flash', '#writing_exercise']","['[[202312011453]]', '[[202012282115]]', '[[202304092037]]']",Wed Dec 27 20:17:20 2023,166
Comprehensible Writing,['202112290857'],"['#writing', '#Comment_13854']","['[[202112290857]]', '[[202201121728]]', '[[201907280725]]']",Sat Feb 25 10:20:51 2023,316
Writer's Block,['202003210807'],['#writing'],"['[[202003210807]]', '[[202012151750]]', '[[202009270843]]', '[[202107290738]]']",Fri Feb 03 09:09:30 2023,158
Iterate the way to understanding,['202306041229'],['#spaced-repetition'],"['[[202306041229]]', '[[202305050616]]', '[[202310221837]]', '[[202402150913]]', '[[202401181605]]', '[[202212151648]]', '[[202405220536]]', '[[202003211431]]', '[[201905281741]]', '[[202003020631]]', '[[202012061015]]']",Wed May 22 15:16:38 2024,284
Longing for staying and going,['202207091536'],"['#ENGL463', '#travel', '#philosophy']","['[[202207091536]]', '[[202302071211]]', '[[202306260825]]', '[[201903280628]]']",Wed Dec 27 20:17:20 2023,225
Eighty Percent Of Thoughts Are Recycled,['202107061120'],['#unconscious-processing'],"['[[202107061120]]', '[[201907280710]]', '[[201901152021]]', '[[201904101105]]', '[[202106080825]]', '[[202207060741]]', '[[202007121919]]', '[[202001091639]]']",Thu Jul 06 11:05:58 2023,215
The Power of Patience,['202206132144'],"['#article', '#temporal-intelligence', '#superpower', '#questions']","['[[202206132144]]', '[[202007261527]]', '[[202206251631]]', '[[202206241636]]', '[[201903220513]]', '[[202012070703]]', '[[202103241053]]']",Fri Feb 03 09:09:30 2023,481
Easy Pickings For Exploitation,['202001191055'],[],"['[[202305220734]]', '[[202302201927]]', '[[202305232039]]', '[[202001191055]]', '[[202001101606]]']",Wed Dec 27 20:17:20 2023,163
Spirituality and materialism,['201906281431'],"['#sauntering,', '#zen']","['[[201903260512]]', '[[201902010817]]', '[[201901281947]]', '[[201906281431]]']",Fri Feb 03 09:09:30 2023,63
A-Repeating myself,['201904091132'],"['#conversation-skills', '#article']","['[[201904091132]]', '[[202003061032]]', '[[202105102113]]']",Fri Feb 03 09:09:29 2023,89
Ecodharma - What To Do,['202007202019'],[],"['[[202007202019]]', '[[202011170657]]', '[[202207101428]]', '[[202009100728]]', '[[202004231000]]', '[[202001021632]]', '[[202011220805]]', '[[202007261507]]', '[[202204110903]]', '[[202007201757]]', '[[202007202000]]', '[[201904270500]]', '[[201903270458]]', '[[201901040639]]', '[[202004241324]]', '[[202106301814]]', '[[202007050647]]', '[[202007261527]]']",Wed Dec 27 20:17:20 2023,573
Writing From A Breakfast Scene,['202001230749'],"['#writing', '#skill']","['[[202301231503]]', '[[202210072001]]', '[[202001230749]]']",Fri Feb 03 09:09:30 2023,109
Each encounter is precious,['201907201515'],"['#zen,', '#conversation-skills,', '#mindfulness,', '#thinking-skills']","['[[201907201515]]', '[[202002090742]]']",Fri Feb 17 19:36:32 2023,108
S-Parkinson's Disease,['202401050607'],"['#sub-hub', '#medical']","['[[202401050607]]', '[[202404210608]]', '[[202306191819]]', '[[202206231656]]', '[[202207071944]]', '[[202207071958]]', '[[202207130901]]', '[[202207131615]]', '[[202207131645]]', '[[202011181938]]']",Wed May 08 07:30:21 2024,194
Inexplicable Depth,['202001011426'],['#haiku'],"['[[202001011422]]', '[[202012281440]]', '[[202001011426]]']",Wed Dec 27 20:17:20 2023,67
Repeated recognition,['201902251126'],['#dzogchen'],"['[[201902251126]]', '[[201901301240]]', '[[202010182027]]', '[[202010270903]]']",Fri Feb 03 09:09:30 2023,177
Focus is the path to a satisfying life,['202307272052'],"['#life-of-mind', '#attention']","['[[202307272052]]', '[[202307271138]]', '[[202012231628]]', '[[202202121652]]', '[[202403242044]]', '[[202405230517]]']",Thu May 30 08:24:52 2024,305
Consequences Of Climate Change,['202001181020'],[],"['[[202001181020]]', '[[201912121936]]', '[[202001090804]]', '[[202009122057]]', '[[202011101509]]', '[[202105241531]]']",Fri Feb 03 09:09:29 2023,117
Listening Assignment,['202009172030'],"['#writing', '#ENGL316', '#environmental']","['[[202009172030]]', '[[202401271929]]', '[[202005210851]]']",Wed Jan 31 19:58:35 2024,261
Hallmarks of Genius,['201912251036'],"['#thinking-skills', '#article']","['[[201906251617]]', '[[201902110737]]', '[[201912251036]]', '[[201912251036]]']",Fri Jan 26 08:09:06 2024,60
The Mysterious Pythagorean Whisper,['202310081156'],"['#thinking', '#skill', '#workflow', '#reading-strategies', '#blog', '#blog-post']","['[[202310081156]]', '[[202110032117]]', '[[202110032117]]', '[[202003262054]]', '[[201911271751]]', '[[202012051631]]', '[[201901211027]]', '[[202406100442]]']",Tue Jun 11 05:00:30 2024,1091
Clustering Illusion,['202003040654'],"['#mind-science', '#mental-models']","['[[201812250852]]', '[[202109220720]]', '[[202003040654]]']",Wed Dec 27 19:58:06 2023,32
Judging Qualities of an Idea,['202404250406'],"['#conversation-skills', '#concept-mapping', '#Comment_20251)']","['[[202404250406]]', '[[202309070645]]']",Sun May 05 05:11:58 2024,550
Undistracted nonmeditation,['201902240759'],['#dzogchen'],"['[[201902240759]]', '[[201901301240]]', '[[201902251039]]', '[[201905281106]]', '[[202010262005]]']",Fri Feb 03 09:09:30 2023,169
"B-Curry: Eating, Reading, and Race",['202304021356'],"['#book', '#ENGL501', '#food', '#writing-tip', '#writing-tip', '#definition', '#writing-tip', '#metaphor']","['[[202304021356]]', '[[202301241904]]']",Tue Jul 11 18:25:36 2023,1520
"C-JAMM328 April 13, 2022",['202204131615'],"['#JAMM328', '#metaphor', '#metaphor']","['[[202204131615]]', '[[202105180855]]']",Fri Feb 03 09:09:29 2023,675
Math Functions - Lambda,['202208021235'],"['#python', '#code-snippet']","['[[202208021235]]', '[[202203211649]]', '[[202110102104]]', '[[202208021233]]']",Wed Dec 27 19:58:06 2023,114
General and Programming Usability,['202308120634'],"['#zettelkasting', '#note-taking', '#definition', '#latest)', '#articleBody)']","['[[202308120634]]', '[[202111181947]]', '[[202001212111]]', '[[202201052120]]']",Sun Aug 13 06:43:28 2023,298
A-Dzogchen: As It Is,['202008100702'],"['#article', '#dzogchen']","['[[202008100702]]', '[[202008101526]]', '[[201902240749]]', '[[202008101524]]', '[[202008101520]]', '[[202008101518]]', '[[202010270742]]', '[[201902191209]]', '[[202010212026]]', '[[202011251118]]', '[[202104301622]]']",Fri Feb 03 09:09:29 2023,125
Illusion of Truth Effect,['202107141541'],"['#article', '#thinking-skills']","['[[202107141541]]', '[[201812271440]]', '[[202105131635]]', '[[201910091640]]', '[[201910281639]]', '[[201912011058]]', '[[202210072107]]', '[[202007201751]]', '[[202001212048]]', '[[202210072107]]']",Wed Dec 27 19:58:06 2023,332
Live virtuously,['201907280700'],"['#stoicism', '#zen']","['[[201912120932]]', '[[202001021636]]', '[[201907280700]]']",Sun Apr 16 09:06:51 2023,117
Criticism,['201901031150'],['#stoicism'],"['[[201901031150]]', '[[202011190711]]', '[[201902010817]]', '[[201902091432]]', '[[201901021303]]']",Fri Feb 03 09:09:29 2023,116
Is this interesting,['201811151517'],['#writing'],"['[[201811151517]]', '[[201811151512]]', '[[201811171131]]', '[[201901291200]]', '[[202002060537]]', '[[202007010631]]']",Fri Feb 03 09:09:29 2023,109
Hidden Secrets,['202003211404'],['#note-taking'],"['[[202003210933]]', '[[201908131521]]', '[[201812161313]]', '[[201902051144]]', '[[201901111024]]', '[[202006281422]]', '[[202003211404]]']",Fri Feb 03 09:09:29 2023,69
Caricature,['202001141918'],[],"['[[202001141918]]', '[[201912270730]]', '[[201910281639]]', '[[201905311111]]']",Wed Dec 27 20:17:20 2023,139
Yak Shaving,['202311172006'],"['#metaphor', '#coding', '#definition']","['[[202311172006]]', '[[201901021254]]', '[[202209141633]]']",Sun Feb 25 12:56:55 2024,306
B-The Lone Ranger And Tonto Fistfight In Heaven,['202102140705'],"['#book', '#beautiful-language', '#ENGL473', '#definition', '#beautiful-language', '#beautiful-language']","['[[202102140705]]', '[[202012212010]]', '[[202101232137]]', '[[202302160751]]', '[[201911191000]]', '[[201904300943]]', '[[202101150603]]', '[[202102231329]]', '[[202101150821]]', '[[202112032105]]', '[[202105131659]]']",Wed Dec 27 20:56:54 2023,3042
A-Smart Training for Writing,['202302040618'],"['#writing', '#goal-setting-strategies', '#article']","['[[202302040618]]', '[[201904210547]]', '[[201901031444]]', '[[202012151744]]', '[[202205291738]]', '[[202211060904]]', '[[202110301956]]', '[[201902141904]]']",Wed Feb 08 08:28:44 2023,505
Who's distracted?,['201902251026'],['#dzogchen'],"['[[201902251026]]', '[[202011281729]]', '[[202104302108]]', '[[201901301240]]', '[[201903101304]]', '[[202103270621]]']",Fri Feb 03 09:09:30 2023,352
"Interbeing - Simple, Healthy Living",['202007261525'],['#zen'],"['[[202007261525]]', '[[202209141633]]', '[[202204110903]]', '[[202202201515]]', '[[202007050647]]', '[[202005111752]]', '[[202007261507]]', '[[202106301814]]']",Wed Dec 27 20:17:20 2023,206
Gathering Ideas And Combinatorial Creativity,['202306041721'],"['#stoicism', '#creativity', '#ideation', '#reading']","['[[202306041721]]', '[[202302252046]]', '[[202309222005]]', '[[202401081029]]', '[[202302231705]]', '[[202302261340]]']",Mon Jan 08 17:36:17 2024,295
An Excuse to Use Pens and Notebooks,['202402272019'],"['#note-taking', '#refactoring']","['[[202402272019]]', '[[202007050655]]', '[[202205151530]]', '[[202005160806]]', '[[202402232046]]']",Mon Mar 11 20:31:39 2024,192
Life Is A Succession Of Events,['202104290728'],['#mindfulness'],"['[[202104290728]]', '[[202104290731]]', '[[202212282103]]', '[[202010282137]]', '[[202006060707]]', '[[202006052009]]']",Fri Feb 03 09:09:30 2023,206
Not one sound unheard,['201912140523'],"['#my-haiku,', '#haiku,', '#writing']","['[[202001011521]]', '[[201912140523]]']",Fri Feb 03 09:09:30 2023,87
Writing a Seduction Scene,['202303191712'],"['#spark', '#sexual', '#writing']","['[[202303191712]]', '[[202009111953]]', '[[202009111947]]', '[[202012122047]]']",Wed Dec 27 19:58:06 2023,480
Latticework Of Theory,['202006280739'],['#mental-models'],"['[[202006280739]]', '[[202001200812]]']",Fri Feb 03 09:09:30 2023,158
How to Refactor Quotes,['202307240809'],"['#writing', '#metaphor', '#editing-tool']","['[[202307240809]]', '[[202301031745]]', '[[202302252046]]']",Wed Dec 27 19:58:06 2023,277
@lru_cache,['202301020958'],['#python'],"['[[202301020958]]', '[[202202061305]]', '[[202306141025]]']",Wed Jun 14 20:00:09 2023,342
Keep mind motionless,['201905281052'],['#zen'],"['[[201905280607]]', '[[201904241401]]', '[[201905061137]]', '[[201902251033]]', '[[201905280607]]', '[[201905300819]]', '[[202010270732]]', '[[201905281052]]']",Fri Apr 21 18:12:14 2023,142
B-The Other,['202102012019'],"['#ENGL473', '#book', '#beautiful-language', '#beautiful-language', '#beautiful-language']","['[[202102012019]]', '[[202012212010]]', '[[202102112012]]', '[[202102131745]]', '[[202104061057]]', '[[202102181719]]', '[[202112231528]]', '[[202102131745]]']",Wed Dec 27 20:56:54 2023,2681
B-The Solace of Open Spaces,['202206211042'],"['#book', '#writing-tip', '#beautiful-language', '#sexual', '#sexual', '#beautiful-language', '#haiku', '#sexual', '#beautiful-language']","['[[202206211042]]', '[[202205291111]]', '[[202211181707]]', '[[202212210810]]', '[[202206292038]]']",Wed Dec 27 20:17:20 2023,771
Results accumulate before they are visible,['202311260636'],"['#mental-models', '#business-of-life', '#epigraph']","['[[202311260636]]', '[[202202201515]]', '[[202012231628]]', '[[202309041352]]']",Wed Dec 13 08:15:20 2023,168
B-Box,['202104212136'],"['#book', '#ENGL473', '#classnotes', '#beautiful-language', '#beautiful-language', '#beautiful-language', '#woodworking']","['[[202104212136]]', '[[202101150603]]', '[[202104231023]]', '[[202104241115]]']",Fri Feb 03 09:09:29 2023,1405
Skeuomorphic Design,['202306211751'],"['#history', '#word-geek', '#definition', '#172:']","['[[202306211751]]', '[[202110070629]]']",Wed Jun 21 20:00:31 2023,115
BO-Don't ponder the actions of others,['201903250613'],['#slogans'],"['[[201903060456]]', '[[201903190550]]', '[[201903240542]]', '[[201904060518]]', '[[201904250633]]', '[[201904260449]]', '[[201903180624]]', '[[201904260449]]', '[[201904200542]]', '[[201903300509]]', '[[201904150459]]', '[[201904180505]]', '[[202011170657]]', '[[201903250613]]']",Fri Feb 03 09:09:29 2023,344
Perceived confidence bias,['201904121010'],"['#counter-argument', '#thinking-skills', '#biases']","['[[202307061039]]', '[[201904121010]]', '[[201812311747]]', '[[201811250734]]', '[[202001181104]]', '[[202008292059]]']",Thu Mar 14 14:37:40 2024,95
"The Persuasive Power of ""Because""",['202303181732'],"['#mental-models', '#writing-tip', '#editing-tool']","['[[202303181732]]', '[[202004211433]]', '[[202303131513]]', '[[202201120840]]', '[[202210072027]]']",Fri May 05 05:55:43 2023,483
When death comes,['202012231625'],"['#blog-post', '#31by31']","['[[202012231625]]', '[[202105010531]]']",Fri Feb 03 09:09:30 2023,184
"Bones are living, active organs",['202305110741'],['#medical'],"['[[202305110741]]', '[[202011181938]]', '[[201905151707]]', '[[202305111739]]']",Mon Oct 16 21:19:29 2023,320
Edit Each Sentence In Isolation,['202110302000'],"['#editing', '#writing']","['[[202110302000]]', '[[202302040606]]', '[[202305120900]]', '[[202012092105]]', '[[202001092002]]', '[[202110312043]]']",Wed Dec 27 19:58:06 2023,122
The Parts Of A Haiku,['201911201047'],"['#haiku-notes', '#haiku']","['[[201911201043]]', '[[201911201422]]', '[[202001212055]]', '[[201911201654]]', '[[201911271321]]', '[[202011220805]]', '[[201912201544]]', '[[201912240917]]', '[[201911201047]]', '[[201911110856]]', '[[201911261429]]']",Wed Dec 27 20:17:20 2023,312
"Don’t Read More, Read Better",['202403170804'],['#reading-strategies'],"['[[202403170804]]', '[[202302080608]]', '[[202305131608]]', '[[202306091955]]', '[[202403150554]]', '[[202312241509]]']",Sat May 25 06:03:09 2024,393
Introduction to Lojong Practice,['201911151629'],"['#blogging', '#blog-post']","['[[201911151629]]', '[[201910290530]]', '[[202009100833]]', '[[202309082119]]']",Wed Dec 27 19:58:06 2023,446
Ecocide,['202007140554'],"['#definition', '#ENGL316']","['[[202007140554]]', '[[202105180855]]', '[[202006160738]]']",Fri Jul 14 06:07:03 2023,98
S-Abundance Of Songwriters,['202006100932'],"['#writing', '#sub-hub', '#list']","['[[202006100932]]', '[[202010310559]]', '[[202004191026]]', '[[202012201116]]', '[[202006041628]]', '[[202007091433]]', '[[202008222109]]', '[[202010210738]]', '[[202012311631]]', '[[202105242012]]', '[[202001211808]]', '[[202006091319]]', '[[202006100932]]', '[[202304141633]]']",Fri Apr 14 16:45:44 2023,115
Deep Think Retreat,['202208211034'],['#mule'],"['[[202208211034]]', '[[202012151742]]', '[[202206220856]]', '[[202107271714]]']",Wed Dec 27 19:58:06 2023,738
Getting nowhere,['201906051951'],['#writing'],"['[[201906051956]]', '[[201906051951]]']",Fri Feb 03 09:09:29 2023,167
Hallucinations role in Large Language Models,['202301101155'],"['#AI', '#expert', '#skill', '#definition', '#beautiful-language', '#counter-argument', '#counter-argument']","['[[202301101155]]', '[[202212271205]]', '[[202109220742]]', '[[202208050921]]', '[[202212160955]]', '[[202111242055]]', '[[202111181953]]']",Mon Jun 12 17:08:06 2023,586
A-How do we write about food when there isn’t any?,['202301300800'],"['#article', '#ENGL501']","['[[202301300800]]', '[[202301241904]]', '[[202304130824]]', '[[202304130824]]', '[[202205250813]]']",Thu Apr 13 09:34:03 2023,632
The Old Pond,['201911191021'],['#haiku'],"['[[202003210746]]', '[[201911191021]]']",Fri Feb 03 09:09:30 2023,30
Weekly Deep Think Retreat Cycle,['202405120534'],['#mule'],['[[202405120534]]'],Tue May 14 06:03:39 2024,457
Schumpeterian Profits,['202309231732'],"['#medical', '#economics']","['[[202309231732]]', '[[202309230909]]', '[[202311190659]]', '[[202309251630]]']",Wed Dec 27 19:58:06 2023,293
ification,['202007281225'],['#definition'],"['[[202007281225]]', '[[202008062014]]']",Fri Feb 03 09:09:30 2023,63
Ranking Of Zettel Reference Weight,['202010171623'],"['#coding', ""#/#/'"", ""#/#/'""]","['[[202010171623]]', '[[202008011415]]', '[[202010181851]]', '[[202303251955]]']",Sat Mar 25 20:03:30 2023,565
Being And Seeming Wise,['202110301640'],"['#rationality', '#mental-models,', '#thinking-skills']","['[[202110301640]]', '[[201910311657]]', '[[202008140728]]']",Fri Feb 03 09:09:29 2023,342
S-Actions for Embracing Finitude,['202206170819'],"['#death', '#dying', '#sub-hub']","['[[202206170819]]', '[[202312291929]]', '[[202312100735]]', '[[202311170609]]', '[[202304250538]]', '[[202307310734]]', '[[202103131638]]', '[[201902280602]]', '[[201811231013]]', '[[201901070542]]', '[[202212180952]]', '[[202208061338]]', '[[202305141952]]', '[[202312100735]]', '[[202208061336]]', '[[202303181131]]', '[[202305020830]]', '[[201905281741]]', '[[202204171623]]', '[[202107271714]]', '[[202112181458]]', '[[202405260654]]', '[[201903081523]]', '[[202002090823]]', '[[202305300805]]', '[[202205121504]]', '[[202208091554]]', '[[202212180952]]', '[[202405300432]]']",Thu May 30 05:15:02 2024,577
The Power Of Varied Sentence Length,['202103131751'],['#writing'],"['[[202103131751]]', '[[202105122032]]', '[[202105121536]]', '[[202001230805]]', '[[202105201724]]', '[[202103131756]]', '[[202303021039]]']",Thu Mar 02 10:57:22 2023,241
Zettel Critique Assistant GPT,['202402201646'],"['#ChatGPT-Tool', '#prompt', '#refactoring', '#Comment_19668)']","['[[202402201646]]', '[[202402191606]]', '[[202402250848]]', '[[202402191606]]']",Mon Feb 26 10:06:03 2024,376
Biophilia,['202012192024'],"['#definition', '#literary-device']","['[[202012192024]]', '[[202007140603]]', '[[202007202034]]', '[[202203181636]]', '[[202203181634]]', '[[202203181634]]']",Wed Dec 27 20:17:20 2023,93
B-A Mind So Rare,['202308160625'],"['#cognition', '#mind-science', '#book', '#epigraph', '#definition']","['[[202308160625]]', '[[202204272037]]', '[[201901211555]]', '[[202204200734]]']",Wed Dec 27 20:17:20 2023,837
