title,uuid,tags,links,last_mod_dt,word_count
"Separate Observation, Interpretation, and Synthesis In Notes",['202105200607'],"['#zettelkasting', '#Comment_11875']","['[[202105200607]]', '[[202011221748]]', '[[201902051907]]', '[[202006230740]]', '[[202210151806]]', '[[202305032014]]', '[[201907041553]]', '[[202105200857]]', '[[202008240934]]']",Wed Dec 27 19:58:06 2023,348
Python Profiling,['202305301714'],"['#coding', '#python']","['[[202305301714]]', '[[202305181432]]']",Thu Sep 07 05:42:38 2023,110
PD Pathology,['202207130901'],"['#PD', '#medical']","['[[202207130901]]', '[[202207071944]]', '[[202207131651]]', '[[202207131652]]', '[[202206231656]]', '[[202207131645]]', '[[202207131615]]', '[[202207071958]]']",Wed Dec 27 19:58:06 2023,241
B-Writing Without Teachers,['202303221435'],"['#book', '#writing', '#writing-tip', '#outline', '#zettelkasting']","['[[202303221435]]', '[[202303120829]]', '[[202305190610]]', '[[202304231749]]', '[[202304210957]]', '[[202304210957]]', '[[202301261044]]', '[[202305170618]]', '[[202305181149]]', '[[202005040730]]', '[[202305181126]]', '[[202012151752]]', '[[202103260835]]']",Thu Mar 21 20:33:00 2024,600
B-Tangerine,['202404051807'],"['#book', '#YAL_research', '#blindness', '#vision', '#YAL_research']",['[[202404051807]]'],Thu May 02 09:50:07 2024,898
Taking Note 2015,['202106291000'],['#note-taking'],"['[[202106291000]]', '[[202106301810]]', '[[202106301814]]', '[[202106301816]]', '[[202106301918]]', '[[202106301920]]', '[[202106301921]]']",Fri Feb 03 09:09:30 2023,77
Biophilial,['202007140603'],"['#definition', '#literary-device']","['[[202007140603]]', '[[202105180855]]', '[[202012192024]]', '[[202006160738]]', '[[202001121118]]']",Fri Nov 24 19:46:44 2023,126
Generate A Sensually Alive Image,['202008311644'],"['#writing', '#skill']","['[[202008311644]]', '[[202302030604]]', '[[202305150931]]', '[[202004281351]]', '[[201904141619]]', '[[201911271321]]', '[[202002280909]]']",Wed Dec 27 20:17:20 2023,205
Things Get Their Shapes From What They Do,['202104130821'],['#ENGL473'],"['[[202104130821]]', '[[202211240933]]', '[[202104101054]]']",Wed Dec 27 19:58:06 2023,68
Sedimented Thinking,['202004162022'],"['#Comment_5351', '#writing', '#metaphor']","['[[201812290706]]', '[[202004162022]]']",Fri Nov 24 19:46:44 2023,94
Cultivation Analysis,['202001102044'],"['#thinking-skills,', '#writing', '#skill']","['[[202001102044]]', '[[201910291924]]', '[[202001031639]]', '[[202307271138]]', '[[202001102044]]', '[[202210121708]]', '[[202210072107]]', '[[202207202027]]', '[[202009021739]]', '[[202203240837]]', '[[202001130822]]', '[[201912270640]]', '[[201910281639]]', '[[201902250629]]', '[[201911121807]]', '[[202008171727]]', '[[202203031429]]']",Wed Dec 27 19:58:06 2023,359
B-Out of My Mind,['202403300946'],"['#book', '#EDCI445', '#YAL', '#disability', '#beautiful-language']","['[[202403300946]]', '[[202106190520]]']",Tue Apr 09 05:21:15 2024,1020
Smart Sketchnoting,['202212311703'],"['#book', '#drawing', '#definitions']","['[[202212311703]]', '[[202212311922]]', '[[201902141904]]', '[[202001021653]]']",Wed Dec 27 19:58:06 2023,343
B-Don't Shoot the Dog,['201811151030'],['#book'],"['[[201811151030]]', '[[201811091435]]', '[[201811091433]]']",Wed Dec 27 19:58:06 2023,51
C-The Chapman Cycle,['202310121050'],['#GEOL454'],"['[[202310121050]]', '[[202310121028]]']",Wed Dec 27 19:58:06 2023,521
Hitchens' Razor,['202109220756'],['#mental-models'],"['[[202109220756]]', '[[202109220828]]']",Fri Feb 03 09:09:29 2023,68
EPA Air Quality Index,['202309082054'],"['#GEOL454', '#chemistry', '#definition', '#definition', '#definition']","['[[202309082054]]', '[[202308231727]]']",Wed Dec 27 19:58:06 2023,470
"T-March 12, 2021",['202103120555'],['#mule'],"['[[202103120555]]', '[[202103131638]]', '[[202102151621]]']",Fri Feb 03 09:09:30 2023,98
Kim Barnes on Ritualizing the Writing Space,['202406150828'],"['#ritual', '#congeries', '#architecture', '#article']","['[[202406150828]]', '[[202004021433]]', '[[202303240823]]']",Mon Jun 17 06:02:03 2024,449
Nam-tok: The Hallucinatory Bubble,['202008090625'],"['#definition', '#zen']","['[[202008090625]]', '[[202010270742]]', '[[202011110626]]', '[[202010262005]]', '[[202008100702]]', '[[202008100658]]']",Fri Nov 24 19:46:44 2023,224
